"Month","Area","Food_Dining","Transportation","Entertainment","Shopping","Utilities","Housing","Healthcare","Education","Travel","Personal_Care","Other","Income","Savings","Total_Expense"
"2023-01-01","Madhapur","11621","5000","3058","7000","2782","19464","1155","3333","7042","2500","1970","98012","33087","64925"
"2023-01-01","Gachibowli","9676","3826","4082","7000","3820","29177","1988","2259","7851","2500","1387","129361","55795","73566"
"2023-01-01","Hitech City","12000","3384","5000","7000","2565","20760","1150","4048","7352","2500","2000","120821","53062","67759"
"2023-01-01","Kukatpally","7490","3917","1500","2475","2560","8455","1463","3726","1068","1980","1540","44031","7857","36174"
"2023-01-01","Ameerpet","6000","2850","3674","4390","1944","8191","625","3962","4030","1071","1287","61996","23972","38024"
"2023-01-01","Banjara Hills","12000","5000","2591","3946","4000","13949","1010","5355","7119","1963","1510","115945","57502","58443"
"2023-01-01","Jubilee Hills","10921","5000","2620","7000","4000","35000","863","5657","2125","2500","889","106273","29698","76575"
"2023-01-01","Secunderabad","9498","4170","1500","4117","2148","14157","1020","3474","3360","1632","630","67558","21852","45706"
"2023-01-01","Begumpet","7902","4904","5000","2850","4000","19258","1774","1975","4719","944","1132","61630","7172","54458"
"2023-01-01","Kondapur","12000","5000","5000","7000","4000","34056","2000","6000","4500","1735","2000","86077","2786","83291"
"2023-01-01","Manikonda","6803","2491","5000","3363","1712","21181","981","6000","5619","1515","906","62018","6447","55571"
"2023-01-01","Miyapur","6000","2322","2246","2000","1976","27541","1488","4818","5889","839","1392","72326","15815","56511"
"2023-01-01","Chandanagar","6373","3931","2791","2387","2527","11654","646","4861","1000","1044","1177","67358","28967","38391"
"2023-01-01","Lingampally","7817","2658","3844","4657","1647","20219","1122","4525","1552","862","789","61618","11926","49692"
"2023-01-01","Dilsukhnagar","6952","2000","3119","2000","1702","8000","1230","3649","1121","891","841","45159","13654","31505"
"2023-01-01","Uppal","7730","2379","2340","4233","1640","11162","1224","2676","1449","975","500","49281","12973","36308"
"2023-01-01","LB Nagar","7015","2000","2667","2097","1500","16809","835","1546","4676","1424","654","44154","2931","41223"
"2023-01-01","Mehdipatnam","9340","2815","3097","4880","1500","27708","1414","4516","6354","1836","936","74711","10315","64396"
"2023-01-01","Tarnaka","6806","2366","2361","2000","1500","11549","831","3057","4410","800","964","40280","3636","36644"
"2023-01-01","Kompally","6698","2668","4520","2417","3134","17472","2000","2606","2653","1804","846","67179","20361","46818"
"2023-01-01","Nallagandla","11097","3264","3499","7000","2691","34626","1830","2133","3882","2500","1313","98454","24619","73835"
"2023-01-01","Attapur","7471","3931","3085","5420","2089","27781","523","4616","2697","1530","1637","62194","1414","60780"
"2023-01-01","Alwal","6357","3047","2231","3335","1500","10110","706","3009","4988","826","1160","38824","1555","37269"
"2023-01-01","Bachupally","7082","3400","3287","3217","1500","21048","1109","3483","2188","1193","1321","58067","9239","48828"
"2023-01-01","Bowenpally","10050","2584","1565","3180","1557","20011","792","1504","1000","1634","1493","51777","6407","45370"
"2023-01-01","Nizampet","6000","2541","1557","4313","3198","25864","1228","3375","4610","1569","638","64058","9165","54893"
"2023-01-01","Somajiguda","11574","4718","2519","4680","4000","35000","1507","2455","6440","1763","1536","84431","8239","76192"
"2023-01-01","Masab Tank","9379","4086","3878","3799","2886","19230","1235","1077","7076","1534","871","64001","8950","55051"
"2023-01-01","Khairatabad","12000","4738","2370","4924","3323","24094","575","3510","3616","1731","1268","66850","4701","62149"
"2023-01-01","Nagole","6000","2559","2814","2000","1744","20887","1253","2755","5006","800","1221","49724","2685","47039"
"2023-02-01","Madhapur","12000","4818","4056","7000","2551","18706","2000","2571","7668","2500","1021","106172","41281","64891"
"2023-02-01","Gachibowli","12000","5000","2371","7000","4000","29327","1333","2569","8000","1541","832","135464","61491","73973"
"2023-02-01","Hitech City","10489","5000","5000","7000","2597","35000","2000","6000","8000","2062","801","129067","45118","83949"
"2023-02-01","Kukatpally","10010","2051","2471","6066","2270","23415","1531","4511","6039","2091","1617","74233","12161","62072"
"2023-02-01","Ameerpet","9541","2466","1888","3699","2875","11646","1499","4473","6441","1965","1709","58627","10425","48202"
"2023-02-01","Banjara Hills","12000","5000","5000","7000","4000","18156","2000","2789","6264","2500","991","141823","76123","65700"
"2023-02-01","Jubilee Hills","12000","4028","5000","4545","2706","35000","2000","3030","4109","2500","2000","112501","35583","76918"
"2023-02-01","Secunderabad","10601","2000","3078","3904","3500","19802","810","2141","4724","1284","1386","72464","19234","53230"
"2023-02-01","Begumpet","9601","5000","5000","6993","4000","10773","976","3716","8000","2500","1105","93333","35669","57664"
"2023-02-01","Kondapur","12000","5000","5000","7000","3169","35000","1062","6000","6290","2500","2000","104253","19232","85021"
"2023-02-01","Manikonda","9941","2696","2180","4115","1953","29014","1359","4529","4686","1559","727","91893","29134","62759"
"2023-02-01","Miyapur","6596","2083","3734","3473","3347","9417","796","4833","4184","1202","865","54579","14049","40530"
"2023-02-01","Chandanagar","8986","3322","2966","2100","2213","11096","940","4714","3541","1696","1532","47341","4235","43106"
"2023-02-01","Lingampally","10003","2876","3380","2321","2053","12672","1021","3043","4540","1092","1102","55007","10904","44103"
"2023-02-01","Dilsukhnagar","6000","2684","1581","2000","1500","8843","500","1813","1651","1235","787","47816","19222","28594"
"2023-02-01","Uppal","6000","3016","2003","3194","1500","20655","500","1000","3751","800","1179","47730","4132","43598"
"2023-02-01","LB Nagar","6000","2000","2949","2000","1500","8000","1290","1459","1875","1518","500","33342","4251","29091"
"2023-02-01","Mehdipatnam","8588","2875","3069","5336","2136","14634","1049","2934","4129","1580","515","49008","2163","46845"
"2023-02-01","Tarnaka","7406","2553","1679","2865","1976","9491","1236","2602","4396","1605","500","39715","3406","36309"
"2023-02-01","Kompally","6995","4949","1775","6450","2221","14042","1496","2194","7651","937","1996","73692","22986","50706"
"2023-02-01","Nallagandla","9884","2368","3590","3387","2127","19802","2000","2107","4362","2269","797","86410","33717","52693"
"2023-02-01","Attapur","7379","2340","1500","5617","2049","8000","1304","1000","1072","1704","711","56142","23466","32676"
"2023-02-01","Alwal","6170","2000","3098","3941","2478","8000","959","1848","1000","1033","565","39612","8520","31092"
"2023-02-01","Bachupally","6067","3132","2265","5272","3088","27321","959","1766","1000","1713","1416","66852","12853","53999"
"2023-02-01","Bowenpally","6000","3484","3018","3267","1685","17285","1647","3627","3662","1733","1372","48202","1422","46780"
"2023-02-01","Nizampet","6000","4032","3997","4231","2784","20819","661","3049","3960","1388","1336","61493","9236","52257"
"2023-02-01","Somajiguda","7126","3616","2417","5733","3568","33026","1336","4225","8000","2154","2000","76650","3449","73201"
"2023-02-01","Masab Tank","10256","3981","1655","6067","1574","23185","1524","1979","7096","1368","1662","67703","7356","60347"
"2023-02-01","Khairatabad","11482","5000","2029","7000","4000","10807","2000","1829","7396","1746","1874","90920","35757","55163"
"2023-02-01","Nagole","6723","2604","2115","2130","1500","12659","500","1679","1292","1132","755","35828","2739","33089"
"2023-03-01","Madhapur","12000","3901","5000","7000","4000","35000","2000","5052","8000","1263","2000","109282","24066","85216"
"2023-03-01","Gachibowli","12000","4598","5000","3409","2481","35000","1768","4411","8000","1833","1000","102319","22819","79500"
"2023-03-01","Hitech City","10621","5000","5000","3536","4000","35000","2000","6000","8000","2500","2000","98125","14468","83657"
"2023-03-01","Kukatpally","7130","3657","2103","5741","3134","8118","604","1877","3226","2163","1145","49718","10820","38898"
"2023-03-01","Ameerpet","8982","2878","1797","2275","2899","15377","1254","4614","5183","1705","1316","61527","13247","48280"
"2023-03-01","Banjara Hills","12000","5000","5000","7000","3542","17545","1183","3030","7664","2500","2000","92940","26476","66464"
"2023-03-01","Jubilee Hills","12000","5000","5000","5824","4000","28198","2000","4219","4078","2500","2000","108907","34088","74819"
"2023-03-01","Secunderabad","6000","2604","2504","5563","1676","16327","1235","4633","4048","1293","530","57497","11084","46413"
"2023-03-01","Begumpet","11675","4106","1887","3342","2367","35000","714","5101","7843","1047","1173","77679","3424","74255"
"2023-03-01","Kondapur","12000","5000","4584","4200","3192","30529","1079","4755","2141","1720","1541","133055","62314","70741"
"2023-03-01","Manikonda","10883","2645","3681","6593","4000","29079","2000","4398","6167","1864","620","83910","11980","71930"
"2023-03-01","Miyapur","7489","2000","4075","3516","1531","22727","969","4555","5992","1811","1209","59698","3824","55874"
"2023-03-01","Chandanagar","8803","2816","2673","5359","1978","20125","595","4222","2219","1769","1314","65247","13374","51873"
"2023-03-01","Lingampally","6000","3839","1686","3396","3080","25978","1348","3313","1254","1811","856","58512","5951","52561"
"2023-03-01","Dilsukhnagar","6120","2769","2224","2000","2003","16810","718","1450","2734","1109","500","44599","6162","38437"
"2023-03-01","Uppal","6000","2421","1500","3935","1833","8000","562","3330","2020","855","1224","37568","5888","31680"
"2023-03-01","LB Nagar","6996","2000","1500","2283","1500","21265","969","1264","4941","1172","957","48380","3533","44847"
"2023-03-01","Mehdipatnam","6804","2625","3849","5350","2981","26745","912","1055","1000","860","500","67886","15205","52681"
"2023-03-01","Tarnaka","6000","2078","2179","2000","2397","18853","500","2079","5280","1131","822","46371","3052","43319"
"2023-03-01","Kompally","8393","5000","3209","5160","3751","33971","1280","5157","2221","1699","1946","82253","10466","71787"
"2023-03-01","Nallagandla","11966","3766","4687","4370","4000","9538","1687","1794","2711","1899","1797","61950","13735","48215"
"2023-03-01","Attapur","6137","2964","3701","5284","3150","17600","500","3230","5419","2061","1217","74233","22970","51263"
"2023-03-01","Alwal","7243","2210","1500","3753","1845","17736","1097","3686","3327","1109","873","46869","2490","44379"
"2023-03-01","Bachupally","6364","3441","2485","3125","1989","14238","1726","4910","1000","1279","1697","64060","21806","42254"
"2023-03-01","Bowenpally","6000","4084","4100","5423","1581","11628","527","1627","1055","1305","1296","63426","24800","38626"
"2023-03-01","Nizampet","7577","3135","3578","3405","2054","25866","1259","1772","3523","980","567","67456","13740","53716"
"2023-03-01","Somajiguda","10777","5000","5000","6128","3994","11592","885","2039","8000","2500","1016","94546","37615","56931"
"2023-03-01","Masab Tank","10370","3534","1659","2166","2526","12160","1281","4244","3802","1872","1441","51740","6685","45055"
"2023-03-01","Khairatabad","10126","4089","2522","6897","2692","31617","979","5720","7935","2500","1945","82685","5663","77022"
"2023-03-01","Nagole","6000","2342","2431","3285","2407","16813","603","1863","2110","800","985","46109","6470","39639"
"2023-04-01","Madhapur","12000","5000","5000","6338","4000","17769","1948","4775","4162","2500","2000","148395","82903","65492"
"2023-04-01","Gachibowli","12000","4654","5000","4305","4000","25501","1041","5606","4187","1822","2000","149620","79504","70116"
"2023-04-01","Hitech City","12000","5000","4778","7000","3949","35000","924","6000","5169","1466","2000","120733","37447","83286"
"2023-04-01","Kukatpally","8479","4227","4137","2165","2664","12355","590","2958","4969","1693","1763","58700","12700","46000"
"2023-04-01","Ameerpet","6000","4008","4376","2957","2220","11038","928","4685","5020","1618","889","47488","3749","43739"
"2023-04-01","Banjara Hills","11164","3973","5000","4595","4000","16228","953","6000","7020","2500","2000","96617","33184","63433"
"2023-04-01","Jubilee Hills","12000","5000","3734","7000","3984","35000","1496","4478","3949","2500","2000","86426","5285","81141"
"2023-04-01","Secunderabad","6057","2457","1976","3502","4000","8000","1101","2591","5731","1055","1390","61261","23401","37860"
"2023-04-01","Begumpet","6860","5000","3230","4312","4000","9375","1838","3242","5079","1618","754","63066","17758","45308"
"2023-04-01","Kondapur","12000","3591","4977","3859","4000","19015","886","5035","8000","2500","1406","138623","73354","65269"
