Month,Area,Food_Dining,Transportation,Entertainment,Shopping,Utilities,Housing,Healthcare,Education,Travel,Personal_Care,Other,Income,Savings,Total_Expense
2023-01-01,Madhapur,12000,5000,5000,7000,2662,35000,2000,6000,2910,2402,1620,95062,13468,81594
2023-01-01,Gachibowli,12000,5000,4754,4885,4000,15145,2000,6000,8000,2185,2000,144874,78905,65969
2023-01-01,Hitech City,12000,5000,3475,6903,2564,19380,2000,6000,8000,2157,1682,85344,16183,69161
2023-01-01,Kukatpally,6435,2155,2854,2826,2862,17854,1577,4058,2873,1997,1539,60800,13770,47030
2023-01-01,Ameerpet,7276,2504,3399,2359,1748,8000,1469,3779,5188,1859,1039,57696,19076,38620
2023-01-01,Banjara Hills,11459,3927,5000,7000,4000,35000,2000,6000,8000,2206,915,122704,37197,85507
2023-01-01,Jubilee Hills,12000,4523,5000,7000,3567,16381,1578,4223,8000,2500,2000,149728,82956,66772
2023-01-01,Secunderabad,7453,3923,1841,2000,1524,24291,1053,1595,3981,935,1364,66997,17037,49960
2023-01-01,Begumpet,9831,3561,2895,5837,2724,11745,767,6000,8000,2254,1018,89587,34955,54632
2023-01-01,Kondapur,12000,5000,4569,4997,2588,35000,1760,2991,4671,2500,1138,147843,70629,77214
2023-01-01,Manikonda,12000,4668,4387,4542,3350,25953,1610,1553,4270,951,1355,72269,7630,64639
2023-01-01,Miyapur,6000,2000,3043,2441,3262,20268,873,3384,1000,2079,1047,55966,10569,45397
2023-01-01,Chandanagar,8758,2000,2623,3647,3148,19190,991,1912,2719,1380,948,56052,8736,47316
2023-01-01,Lingampally,9174,3925,1667,3994,1500,21893,772,3598,5098,1764,554,55568,1629,53939
2023-01-01,Dilsukhnagar,7357,2000,1500,3056,1553,19459,1096,1655,4909,829,814,49568,5340,44228
2023-01-01,Uppal,7596,2000,1500,2730,2603,20974,1062,3567,4744,1099,637,49628,1116,48512
2023-01-01,LB Nagar,6890,2582,1819,2000,2182,9776,1235,1429,1205,1434,500,45505,14453,31052
2023-01-01,Mehdipatnam,7946,3828,1811,2941,2851,28350,1036,1424,1000,986,578,57724,4973,52751
2023-01-01,Tarnaka,6684,2000,2173,3633,1961,8894,1133,3039,4099,800,500,43992,9076,34916
2023-01-01,Kompally,8896,3080,3406,5638,4000,16692,2000,1193,5184,1992,699,96741,43961,52780
2023-01-01,Nallagandla,7611,3623,5000,5540,4000,33058,1336,5477,1251,1096,1940,78364,8432,69932
2023-01-01,Attapur,6260,3041,3065,5365,2546,16200,898,2649,4709,1925,999,69688,22031,47657
2023-01-01,Alwal,6000,2000,2598,3844,1500,8000,880,1094,4280,839,500,48537,17002,31535
2023-01-01,Bachupally,6048,2468,1762,2229,1500,8212,659,1096,4443,1693,943,72234,41181,31053
2023-01-01,Bowenpally,6693,2974,3862,5295,1500,10919,724,1902,4231,1276,500,41316,1440,39876
2023-01-01,Nizampet,7570,2000,3657,2000,3156,8840,1462,4565,6506,1791,1382,55663,12734,42929
2023-01-01,Somajiguda,11369,5000,2274,5399,3213,35000,1378,3375,6318,1445,819,86854,11264,75590
2023-01-01,Masab Tank,7587,2407,2486,3420,2069,16282,1364,2217,6820,2104,1090,61449,13603,47846
2023-01-01,Khairatabad,9112,4123,5000,6017,4000,25591,1657,2791,7025,1308,1763,84894,16507,68387
2023-01-01,Nagole,6000,2521,1500,3692,1500,21825,500,3801,4334,1187,1098,49883,1925,47958
2023-02-01,Madhapur,12000,5000,3672,7000,2674,35000,1165,5885,7704,2450,1975,132501,47976,84525
2023-02-01,Gachibowli,12000,5000,5000,7000,2811,17438,987,6000,6140,2500,2000,133475,66599,66876
2023-02-01,Hitech City,12000,5000,5000,5357,3851,26347,1177,2778,8000,2468,1718,88954,15258,73696
2023-02-01,Kukatpally,8426,4348,3826,3976,2207,31324,1426,5205,1654,2031,1316,72821,7082,65739
2023-02-01,Ameerpet,6000,3300,3420,2000,2311,26549,827,2886,3591,1151,1646,69734,16053,53681
2023-02-01,Banjara Hills,11199,5000,5000,5747,4000,18274,2000,6000,8000,1603,2000,134691,65868,68823
2023-02-01,Jubilee Hills,10595,4672,3433,7000,3425,35000,2000,2026,1781,1524,2000,148604,75148,73456
2023-02-01,Secunderabad,6583,4029,1506,5319,3383,25554,1371,4597,1135,1013,609,71288,16189,55099
2023-02-01,Begumpet,10258,4813,4210,7000,2146,31631,897,2675,6784,2500,1611,88089,13564,74525
2023-02-01,Kondapur,12000,3172,5000,7000,2882,15623,1156,6000,6278,2500,2000,83815,20204,63611
2023-02-01,Manikonda,10331,2667,5000,3840,3225,29451,1614,6000,2233,1822,1211,97291,29897,67394
2023-02-01,Miyapur,6000,2062,2122,3024,2205,21022,1246,2625,3314,1004,1186,60282,14472,45810
2023-02-01,Chandanagar,6490,2000,2435,3589,1695,19264,1108,3704,4546,1568,800,54950,7751,47199
2023-02-01,Lingampally,7805,2766,3099,3194,2336,23420,1536,4707,3800,1414,1427,71111,15607,55504
2023-02-01,Dilsukhnagar,6000,2896,2073,2000,1500,19729,500,1543,2143,800,623,41605,1798,39807
2023-02-01,Uppal,6000,2949,2959,2541,1500,15938,500,1858,5072,1640,1091,48263,6215,42048
2023-02-01,LB Nagar,6000,2641,2580,2560,2016,8000,529,2356,1395,800,1140,48505,18488,30017
2023-02-01,Mehdipatnam,7753,3751,4124,2249,2176,15447,515,3967,3352,1327,603,74690,29426,45264
2023-02-01,Tarnaka,6000,3144,1500,2107,1500,14143,919,2309,1058,809,1176,47938,13273,34665
2023-02-01,Kompally,10529,4268,4437,2437,2571,24013,1072,5557,4659,2242,1892,87271,23594,63677
2023-02-01,Nallagandla,10074,5000,3966,6975,2624,23953,1447,1701,4228,2500,1614,78874,14792,64082
2023-02-01,Attapur,6820,2186,1500,5635,2225,13841,1187,1000,2501,1694,1232,47052,7231,39821
2023-02-01,Alwal,7538,2448,2010,3681,2382,17406,1233,3112,4480,800,1013,49486,3383,46103
2023-02-01,Bachupally,8083,3437,4245,6005,1926,24123,1409,2370,1620,800,1445,64733,9270,55463
2023-02-01,Bowenpally,7588,4208,2655,5849,2147,24984,532,3207,5615,2014,1472,64696,4425,60271
2023-02-01,Nizampet,6840,2000,1563,4465,2727,23993,1493,3901,5486,800,707,55907,1932,53975
2023-02-01,Somajiguda,11260,5000,1754,5291,3695,10181,1275,6000,6597,1393,2000,78896,24450,54446
2023-02-01,Masab Tank,9953,2593,3192,3567,1958,28586,699,1275,3037,1808,1532,64829,6629,58200
2023-02-01,Khairatabad,12000,3313,3357,3078,3368,35000,1779,4559,4296,2500,1428,84177,9499,74678
2023-02-01,Nagole,6000,2000,1500,2000,1733,16536,668,2041,5076,1367,863,42195,2411,39784
2023-03-01,Madhapur,11894,5000,3585,5597,4000,34410,2000,6000,8000,2020,1330,104505,20669,83836
2023-03-01,Gachibowli,10863,5000,3904,7000,4000,35000,1814,5298,8000,2500,2000,107032,21653,85379
2023-03-01,Hitech City,12000,5000,3442,7000,2812,35000,2000,5711,6460,1380,2000,132792,49987,82805
2023-03-01,Kukatpally,6000,2484,1569,3878,2531,14911,523,1413,3348,819,1403,43676,4797,38879
2023-03-01,Ameerpet,6368,2555,2532,3590,1500,9694,1577,1000,4007,1435,879,54355,19218,35137
2023-03-01,Banjara Hills,12000,5000,4064,6089,3550,35000,2000,3609,5588,2500,966,111083,30717,80366
2023-03-01,Jubilee Hills,12000,5000,3488,3850,3177,35000,885,3342,2098,1701,2000,113285,40744,72541
2023-03-01,Secunderabad,8365,3350,3974,2000,3228,21960,661,4322,6209,1095,1669,62133,5300,56833
2023-03-01,Begumpet,9947,4343,5000,4340,4000,18917,1936,4563,2866,1714,1113,92921,34182,58739
2023-03-01,Kondapur,9242,4546,2343,4229,4000,35000,2000,3868,8000,2500,1031,85467,8708,76759
2023-03-01,Manikonda,7537,4480,2312,4983,4000,8906,576,6000,5593,1116,2000,59099,11596,47503
2023-03-01,Miyapur,7934,3327,2114,2000,2571,13736,1287,4460,1000,1560,729,71043,30325,40718
2023-03-01,Chandanagar,9261,2274,2996,3927,2051,21660,1309,3159,5197,2036,930,73561,18761,54800
2023-03-01,Lingampally,6000,3696,2797,3402,1500,26969,920,3717,1723,2051,647,65108,11686,53422
2023-03-01,Dilsukhnagar,6000,2947,3022,2000,1722,17902,1170,1864,2974,1327,1028,46810,4854,41956
2023-03-01,Uppal,6216,2000,3078,4176,2307,8000,532,3114,1000,1627,703,46517,13764,32753
2023-03-01,LB Nagar,6725,3040,1878,2344,1970,15441,726,2613,4920,1040,518,44979,3764,41215
2023-03-01,Mehdipatnam,6967,2000,1724,4517,1956,28140,721,1245,5226,1914,764,63400,8226,55174
2023-03-01,Tarnaka,6000,2000,2222,2900,1500,8000,816,3872,3719,1097,500,37611,4985,32626
2023-03-01,Kompally,8291,4583,4876,6946,4000,35000,2000,1451,2097,1406,1419,80017,7948,72069
2023-03-01,Nallagandla,7366,5000,4094,5273,2141,16605,829,5886,5696,2294,1056,93527,37287,56240
2023-03-01,Attapur,7177,3644,3579,2583,3281,9586,1570,1279,2428,1906,655,52994,15306,37688
2023-03-01,Alwal,6000,2130,1500,3529,2307,20100,642,2323,1741,800,500,43036,1464,41572
2023-03-01,Bachupally,9855,3769,2881,3874,2457,19564,1002,1443,1635,2104,1064,73552,23904,49648
2023-03-01,Bowenpally,9979,2121,2929,2587,1816,8000,578,4755,2768,1561,1020,73984,35870,38114
2023-03-01,Nizampet,7656,2134,4132,5074,2794,17206,607,4667,2824,800,844,59974,11236,48738
2023-03-01,Somajiguda,12000,4489,4791,6926,2356,35000,1343,4868,1179,2500,1069,97285,20764,76521
2023-03-01,Masab Tank,7855,2143,1825,4634,2229,29527,879,4157,3795,1725,1256,62079,2054,60025
2023-03-01,Khairatabad,10164,5000,3105,3320,3675,35000,645,3736,8000,2386,2000,88089,11058,77031
2023-03-01,Nagole,6573,2000,3178,2529,2208,12463,886,3035,3011,1546,745,45021,6847,38174
2023-04-01,Madhapur,12000,4685,4533,6501,3511,16216,2000,6000,8000,1290,1532,136351,70083,66268
2023-04-01,Gachibowli,12000,5000,3714,7000,3582,24249,1113,3800,8000,2500,1263,93846,21625,72221
2023-04-01,Hitech City,12000,5000,5000,7000,4000,35000,1576,6000,6104,2500,860,120622,35582,85040
2023-04-01,Kukatpally,10235,3485,2778,6077,4000,15192,1198,3138,4936,1244,788,62564,9493,53071
2023-04-01,Ameerpet,10120,4208,3926,6077,3707,25262,1450,3001,3700,1066,1294,71342,7531,63811
2023-04-01,Banjara Hills,12000,5000,4962,5231,4000,35000,1271,1754,5669,2500,2000,100669,21282,79387
2023-04-01,Jubilee Hills,11791,5000,3289,6820,4000,22788,1262,5376,8000,2500,2000,124286,51460,72826
2023-04-01,Secunderabad,6085,3896,2181,5725,3519,9820,1558,1677,3533,1549,1115,44166,3508,40658
2023-04-01,Begumpet,11566,4525,5000,7000,3989,12084,1820,6000,3691,1811,1300,68388,9602,58786
2023-04-01,Kondapur,12000,4591,5000,7000,4000,28878,1474,6000,8000,2453,2000,86061,4665,81396
2023-04-01,Manikonda,7561,5000,2023,3049,3903,10821,638,1104,4466,2332,608,70214,28709,41505
